idx,type,character,sentence,j-hartmann/emotion-english-distilroberta-base,SamLowe/roberta-base-go_emotion,michellejieli/emotion_text_classifier
34,speech,BARMAN,He took great joy in giving all the staff here extremely large tips.,joy,joy,joy
35,speech,BARMAN,"One day he came here for Christmas Dinner, drank a half bottle of wine and left two hundred pounds.
",disgust,neutral,disgust
36,speech,JESSICA,"I say that must have been a very happy Christmas for you and your family.
",joy,joy,joy
37,speech,BARMAN,"Not really madam, I wasn't working.",sadness,neutral,neutral
38,speech,BARMAN,"However, that does not alter Mr Cleethorpes generosity.",neutral,neutral,neutral
39,speech,JESSICA,Yes.,neutral,approval,neutral
40,speech,JESSICA,"He was so generous, especially for a Jew.",disgust,admiration,joy
41,consigne,,BARMAN appears taken aback,,,
42,speech,JESSICA,"I'm so sorry, please don't think me an awful bigot, but one can't fight one's genes.",sadness,remorse,sadness
43,speech,BARMAN,"That's quite alright madam, in this profession it's prudent to treat everyone with equal respect, so please be as candid as you wish.",neutral,approval,neutral
44,speech,BARMAN,There aren't many things that can be said to a barman he hasn't already heard.,neutral,neutral,neutral
45,speech,BARMAN,"After all, we live in a modern society and must be tolerant of everyone's views.",neutral,approval,neutral
46,speech,BARMAN,"A good barman has no preference if you are black, Jewish, homosexual or even racist.",disgust,neutral,neutral
47,speech,BARMAN,As a matter of fact some of my best friends are racists.,disgust,annoyance,neutral
48,speech,BARMAN,"But if you'll pardon me for saying so madam, I was under the impression that Mr Cleethorpes was a Roman Catholic.",neutral,neutral,neutral
49,speech,JESSICA,His mother married out.,sadness,neutral,neutral
50,speech,JESSICA,His father is the Papist.,disgust,neutral,neutral
51,speech,JESSICA,"Edwin was hardly the most devout person one has ever met.
",neutral,neutral,neutral
52,speech,BARMAN,"If my memory serves me madam, he did attend mass regularly.",neutral,neutral,neutral
53,speech,JESSICA,"Yes he did enjoy mass 
",neutral,joy,neutral
54,consigne,,"JESSICA pronounces mass to rhyme with farce,",,,
55,speech,JESSICA,he said only the Catholics gave one a chance to have a glass of wine and then brag about your conquests in confession whilst still being able to worship the Lord.,neutral,neutral,neutral
56,speech,BARMAN,I'm sure the good Lord appreciates Mr Cleethorpes rye wit.,joy,admiration,joy
57,speech,JESSICA,Yes I'm sure he does.,neutral,approval,neutral
58,speech,JESSICA,I suppose our loss is his gain.,neutral,neutral,neutral
59,speech,JESSICA,I do miss him terribly.,sadness,sadness,sadness
60,consigne,,She walks over and sits on a bar stool,,,
61,speech,JESSICA,"That's silly to say really, I haven't even tried to make any contact in years, yet as soon as he's gone I miss him so badly.",sadness,sadness,sadness
62,speech,BARMAN,"You were old friends then madam?
",neutral,curiosity,neutral
63,speech,JESSICA,We were at university together.,joy,neutral,neutral
64,speech,JESSICA,We were the Famous Five.,neutral,neutral,neutral
65,speech,JESSICA,Everyone knew us and everyone envied us.,joy,neutral,joy
66,speech,JESSICA,It was so rare not to see the five of us all together.,surprise,neutral,neutral
67,speech,JESSICA,"Lectures, library, cafes, bars, parks, shops, clubs.",neutral,neutral,neutral
68,speech,JESSICA,Everywhere.,neutral,neutral,neutral
69,speech,JESSICA,If one of us was ever ill and there were only four of us wandering round campus people would come up and ask what had happened.,neutral,neutral,neutral
70,speech,JESSICA,I think they were hoping that someone had lost favour.,neutral,neutral,neutral
71,speech,JESSICA,"Everyone wanted to join our group, but it was a select circle.",neutral,neutral,neutral
72,speech,JESSICA,The envy of the university.,disgust,neutral,neutral
73,speech,JESSICA,Of course we never allowed anyone to join.,neutral,neutral,neutral
74,speech,JESSICA,"It wasn't a rule we had, not even an unspoken law.",neutral,disapproval,neutral
75,speech,JESSICA,It was just the way things were.,neutral,neutral,neutral
76,speech,JESSICA,It almost felt like we were following someone else's rules rather then creating our own.,neutral,neutral,neutral
77,speech,JESSICA,That's not to say we didn't have other friends.,neutral,neutral,neutral
78,speech,JESSICA,Being in that group meant we all had friends aplenty.,neutral,approval,neutral
79,speech,JESSICA,We were invited to every party and asked out first at every ball.,neutral,neutral,neutral
80,speech,JESSICA,Everyone wanted to either be us or be with us.,neutral,neutral,neutral
81,consigne,,Leans in and whispers,,,
82,speech,JESSICA,"I was once seeing a boy who used to cry when we made love, he said he couldn't believe how lucky he was to be with one of us.",surprise,love,joy
83,speech,JESSICA,"He didn't last long 
",neutral,neutral,neutral
84,consigne,,laughs and,,,
85,consigne,,lights a cigarette,,,
86,speech,JESSICA,"not that it mattered, there were dozens more where he came from.",neutral,neutral,neutral
87,speech,JESSICA,An endless supply of worshippers.,joy,neutral,neutral
88,speech,JESSICA,"Even for Margaret and Trevor.
",disgust,neutral,neutral
89,speech,BARMAN,Miss Harley and Mr Mcleish?,neutral,neutral,neutral
90,speech,JESSICA,Yes.,neutral,approval,neutral
91,speech,JESSICA,"Are they here yet?
",neutral,neutral,neutral
92,speech,BARMAN,"You're the first of the party to arrive madam.
",neutral,neutral,neutral
93,speech,JESSICA,Good Lord how embarrassing.,disgust,embarrassment,disgust
94,speech,JESSICA,"I have broken my New Year's resolution already, and I really thought I would keep this one.",neutral,disappointment,sadness
95,speech,JESSICA,Anyway where was I?,neutral,curiosity,neutral
96,speech,BARMAN,"Miss Harley and Mr Mcleish.
",neutral,neutral,neutral
97,speech,JESSICA,Oh yes!,surprise,excitement,joy
98,speech,JESSICA,Well even they managed to ensnare a host of admirers.,neutral,neutral,neutral
99,speech,JESSICA,"I feel awful saying this, but you'll be surprised when you meet them.",surprise,disgust,neutral
100,speech,JESSICA,"I know it's easy enough to imagine Edwin and I being in the most popular group of our peers, but Trevor is so very dour, so serious.",sadness,admiration,neutral
101,speech,JESSICA,"Brilliant mind of course, he's one of the most promising young lawyers in Scotland, and so very gentlemanly.",joy,admiration,neutral
102,speech,JESSICA,"Margaret's similar in a way, she's means so well, she's so kind.",neutral,admiration,neutral
103,speech,JESSICA,Earnest is the best way to describe her.,neutral,neutral,neutral
104,speech,JESSICA,I'd never had friends like either of them before.,surprise,realization,neutral
105,speech,JESSICA,"It was Edwin who chose us all, who brought us all together.",neutral,neutral,joy
106,speech,JESSICA,To this day I can't work out what he saw in the four of us that would make a dynamic group.,neutral,neutral,neutral
107,speech,JESSICA,"But there we were, The Famous Five!
",surprise,neutral,surprise
108,speech,BARMAN,"They sound like most joyous days madam.
",joy,joy,joy
109,speech,JESSICA,Oh they were.,surprise,neutral,neutral
110,speech,JESSICA,"Marriage and motherhood is all well and good, but I wouldn't swap those memories for anything in the world.",neutral,approval,neutral
111,consigne,,TREVOR enters shaking off his umbrella,,,
112,speech,JESSICA,Trevor!,surprise,neutral,joy
113,consigne,,She runs over and embraces him,,,
114,speech,JESSICA,"My goodness, you look so handsome.",surprise,admiration,surprise
115,speech,JESSICA,"What happened to the glasses and the belly?
",neutral,curiosity,neutral
116,speech,TREVOR,It's amazing the effect a good woman can have.,surprise,admiration,joy
117,speech,TREVOR,It's probably why I was such state the whole time we were friends.,neutral,neutral,neutral
118,consigne,,she slaps his chest and smiles,,,
119,speech,JESSICA,Don't be such a rotter.,neutral,neutral,neutral
120,speech,JESSICA,Well whatever that wife of yours has done to you it's all for the better.,neutral,optimism,neutral
121,speech,TREVOR,Best thing I ever did.,joy,admiration,joy
122,speech,TREVOR,"It looks like it agrees with you too Jess, you look every bit as stunning as you always did.",neutral,admiration,joy
123,consigne,,They are constantly making eyes at each other and periodically touch one another's arm. JESSICA ushers him over to the bar stools. TREVOR removes his overcoat and gives it to BARMAN who hangs it. They both sit.,,,
124,speech,BARMAN,"Can I get you a drink sir?
",neutral,neutral,neutral
125,speech,TREVOR,"Yes.
",neutral,neutral,neutral
126,consigne,,Interrupting,,,
127,speech,JESSICA,"He will have a glass of Oban, no ice.",neutral,neutral,neutral
128,speech,TREVOR,"And she will have sherry and it won't be her first I'll wager, unless some He-Man has actually made an honest woman of her.",neutral,neutral,neutral
129,consigne,,BARMAN busies himself with the drinks.,,,
130,speech,JESSICA,You know full well how honest I am!,anger,approval,anger
131,speech,JESSICA,"I just lack restraint, remorse, piety or loyalty.",neutral,remorse,neutral
132,speech,JESSICA,"Honesty however is one of my very few virtues.
",neutral,neutral,neutral
133,speech,TREVOR,"Beauty, intelligence, mystery, lust for life, lust for lust.",neutral,admiration,joy
134,speech,TREVOR,I think you're selling yourself a wee bit short at just honesty.,neutral,neutral,neutral
135,consigne,,She flicks her hair,,,
136,speech,TREVOR,But that's the last time I let you fish for compliments this week.,neutral,neutral,neutral
137,speech,JESSICA,"Oh don't be awful to me.
",disgust,caring,disgust
138,speech,TREVOR,Men only have a limited number of compliments to give out; especially Scotsmen.,neutral,neutral,neutral
139,speech,TREVOR,And especially Scots lawyers!,neutral,neutral,joy
140,speech,TREVOR,"You've just used up more compliments then my wife gets in a month.
",neutral,neutral,anger
141,speech,JESSICA,"I'm sure she gets more then that.
",neutral,approval,neutral
142,speech,TREVOR,"Yes you're probably right, but not from me she doesn't.",neutral,approval,neutral
143,speech,JESSICA,You're being awful again.,disgust,disgust,disgust
144,speech,TREVOR,I'm really not.,surprise,disapproval,neutral
145,speech,TREVOR,She knew what I was like when she married me.,disgust,neutral,joy
146,speech,TREVOR,If I suddenly started to compliment her willy nilly then she'd probably suspect me of having an affair.,fear,neutral,neutral
147,speech,TREVOR,"Thus for the sake of my marriage and future generations of Mcleishes its best just to spot when she's had her hair cut, tell her she looks good if she asks, and say I love you on our anniversary.",neutral,love,joy
148,speech,TREVOR,Anything more would be an admission of guilt.,disgust,remorse,neutral
149,speech,JESSICA,Well I still say you're being awful.,disgust,disgust,disgust
150,speech,JESSICA,Thomas is always fawning over me telling me how gorgeous I am.,neutral,admiration,joy
151,speech,TREVOR,"And does that keep you faithful and loving?
",neutral,curiosity,neutral
152,consigne,,Long Pause. She smiles then turns to the BARMAN,,,
153,speech,JESSICA,.,neutral,neutral,neutral
154,speech,JESSICA,Let's have another drink.,neutral,neutral,neutral
155,consigne,,BARMAN pours.,,,
156,speech,JESSICA,"TREVOR: Are you happy?
",joy,neutral,neutral
157,speech,JESSICA,I've got three beautiful daughters and a husband who loves me.,joy,love,joy
158,speech,TREVOR,Don't you find that when people are truly happy they can't stop talking about what makes them so.,joy,neutral,neutral
159,speech,TREVOR,And when people aren't happy they will talk about anything but the reason why they aren't.,sadness,neutral,neutral
160,speech,JESSICA,I'm not sure I like what you're getting at.,neutral,confusion,neutral
161,speech,JESSICA,You don't know anything about my life.,disgust,neutral,anger
162,speech,TREVOR,"True maybe, but I know you.",neutral,approval,neutral
163,speech,TREVOR,It may have been eight long years.,neutral,neutral,sadness
164,speech,TREVOR,"Eight long hard years away from you, but I can read you in a way your husband obviously cannot.",neutral,neutral,neutral
165,speech,JESSICA,"Stop it.
",anger,anger,neutral
166,speech,TREVOR,And I know you so well that I know you don't really want me to stop it.,neutral,neutral,sadness
167,speech,TREVOR,When you want someone to stop what they're saying you target them.,anger,neutral,neutral
168,speech,TREVOR,You pray on their insecurities and weaknesses; I've seen you do it a thousand times.,neutral,neutral,neutral
169,consigne,,No more convincingly,,,
170,speech,JESSICA,"I said stop it.
",anger,anger,neutral
171,speech,TREVOR,"There's one thing that I never dreamed you would ever be Jess, and that's unhappy.",sadness,disappointment,sadness
172,speech,TREVOR,And to anyone who knows you it's practically tattooed on your forehead.,disgust,neutral,neutral
173,speech,JESSICA,I can't do this now Trevor.,sadness,disapproval,sadness
174,consigne,,Leaning very close,,,
175,speech,TREVOR,I could make you happy.,joy,caring,joy
176,consigne,,Touches her hand,,,
177,speech,TREVOR,Come to my room later.,neutral,neutral,neutral
178,consigne,,MARGARET enters. She's soaked through. TREVOR quickly jumps up from his stool and awkwardly and obviously repositions himself so that he's feigning nonchalance propped with is elbow against the bar.,,,
179,speech,JESSICA,"Goodness me, Margaret!",joy,gratitude,joy
180,consigne,,She goes over and kisses her on both cheeks,,,
181,speech,JESSICA,You are absolutely drenched woman.,disgust,admiration,disgust
182,consigne,,laughs,,,
183,speech,MARGARET,"Yes I know, such a big div forgetting my brolly.",sadness,realization,sadness
184,speech,MARGARET,Look at you!,anger,neutral,surprise
185,speech,MARGARET,"I don't believe you've had three children for a second, you look absolutely ravishing.",disgust,admiration,disgust
186,speech,MARGARET,"I've been dreading having to stand next to you all week, people are going to think I'm your mother.",fear,fear,fear
187,speech,MARGARET,"And who is this Adonis who's stolen my old friends face?
",surprise,curiosity,surprise
188,speech,TREVOR,"Hello Margaret 
",neutral,neutral,neutral
189,consigne,,He,,,
190,consigne,,walks towards her and holds out his hand. She totally ignores it and instead hugs him tightly for several seconds totally soaking his suit through.,,,
191,speech,MARGERET,"Oh Trevor, it's so wonderful to see you.",joy,admiration,joy
192,consigne,,She releases him. He holds his arms out wide in front of him and shakes off the wet.,,,
193,speech,MARGARET,"Goodness you both look so well.
",joy,admiration,joy
194,consigne,,BARMAN comes over and takes her coat.,,,
195,consigne,,to BARMAN,,,
196,speech,MARGARET,"Gin and tonic please.
",neutral,neutral,neutral
197,consigne,,BARMAN goes to fix her drink and hang up the coat. MARGARET takes a seat in one of the large chairs. JESSICA and TREVOR do the same.,,,
198,speech,MARGARET,"So how late am I then?
",neutral,curiosity,neutral
199,speech,JESSICA,"Not too bad actually, not for you anyway.
",disgust,neutral,neutral
200,speech,MARGARET,"No I suppose not, I've beaten Alan at least though that's hardly anything to write home about.",neutral,disapproval,neutral
201,speech,TREVOR,"Death, taxes and Alan being late.",sadness,neutral,sadness
202,speech,TREVOR,The three certainties of life.,neutral,neutral,neutral
203,speech,MARGARET,"How long has it been since we laid eyes on each other?
",neutral,curiosity,neutral
204,consigne,,BARMAN brings over drink then returns to the bar.,,,
205,speech,MARGARET,Thank you.,neutral,gratitude,neutral
206,speech,JESSICA,"Well the last time I laid eyes on you was during the Commonwealth Games.
",neutral,neutral,neutral
207,speech,TREVOR,"Yes I had no idea I'd be drinking with a celebrity.
",surprise,surprise,surprise
208,speech,MARGARET,Hardly.,neutral,disapproval,neutral
209,speech,MARGARET,"I've been recognized twice in my whole life, and both times by hockey fans.",neutral,realization,neutral
210,speech,JESSICA,Well I'm sure Daniel Beckham started somewhere; he wasn't always a household name.,neutral,neutral,neutral
211,speech,TREVOR,He obviously still isn't in some of the well-to-do households.,neutral,neutral,neutral
212,speech,MARGARET,"Now now Trevor, when your house covers half of Hampshire it's rather easy to lose things.",neutral,neutral,neutral
213,speech,MARGARET,Even the name of the world's best known footballer.,disgust,neutral,neutral
214,speech,JESSICA,I was wondering how long it would take for this to start.,surprise,surprise,neutral
215,speech,JESSICA,Just because I wasn't dragged up in the gutter like you two.,neutral,neutral,disgust
216,speech,MARGARET,"And I'm from Enfield.
",neutral,neutral,neutral
217,speech,JESSICA,Scotland and London!,fear,neutral,neutral
218,speech,JESSICA,May as well be Beirut or Baghdad or.,sadness,neutral,neutral
219,speech,JESSICA,"Liverpool!
",joy,neutral,joy
220,speech,TREVOR,"I spent a very pleasant fortnight in Beirut last summer, how dare you suggest it's a dilapidated hellhole.",anger,annoyance,anger
221,speech,MARGARET,And to be fair Liverpool won the European City of Culture award.,joy,admiration,joy
222,speech,JESSICA,Whatever next?,neutral,curiosity,neutral
223,speech,JESSICA,"Atlantis winning an award for irrigation?
",surprise,curiosity,surprise
224,speech,MARGARET,"They do have culture in the North you know Jess, it's not all flat caps and whippets.
",neutral,neutral,neutral
225,speech,JESSICA,Oh nonsense.,disgust,annoyance,disgust
226,speech,JESSICA,Anything beyond the Home Counties may as well have '91here be dragons' written on the map.,neutral,neutral,neutral
227,speech,TREVOR,Except Edinburgh of course.,neutral,neutral,neutral
228,speech,JESSICA,"Oh yes, except Edinburgh.",neutral,neutral,neutral
229,speech,JESSICA,A truly remarkable place.,surprise,admiration,joy
230,speech,JESSICA,A solitary rose amidst the bracken.,disgust,neutral,neutral
231,speech,JESSICA,"Where would any of us be today without Edinburgh?
",neutral,curiosity,neutral
232,speech,TREVOR,I'd probably be a caddy and a drunk back home.,disgust,neutral,neutral
233,speech,MARGARET,And I never would have been able to do my PhD in Paris.,sadness,disappointment,sadness
234,speech,JESSICA,Alan certainly wouldn't have been admitted to the Scottish Writers' Guild and had all those poems published.,neutral,neutral,sadness
235,consigne,,Long pause. They become somber.,,,
236,speech,MARGARET,Edwin might still be alive though.,neutral,neutral,neutral
237,consigne,,Pause,,,
238,speech,MARGARET,"Well come on, you can't attend a man's funeral and ignore the fact that he's dead.",disgust,neutral,neutral
239,speech,JESSICA,I was having a bloody good go.,anger,joy,neutral
240,speech,TREVOR,Edinburgh didn't kill Edwin.,neutral,neutral,neutral
241,speech,TREVOR,He didn't change one bit the whole time he was there.,neutral,neutral,neutral
242,speech,TREVOR,I think he's the only person I knew never to change in the slightest.,neutral,admiration,neutral
243,speech,MARGARET,"Exams, presentations, graduation.",neutral,neutral,neutral
244,speech,MARGARET,He never compromised on anything.,neutral,neutral,neutral
245,speech,JESSICA,"How many lectures would he get up and argue with someone when he was drunk or drugged up?
",neutral,curiosity,surprise
246,speech,TREVOR,"And how many times would he not be there at all because he was in bed with some girl.
",surprise,neutral,neutral
247,speech,MARGARET,"Or some boy.
",neutral,neutral,neutral
248,speech,JESSICA,Or quite often both.,neutral,neutral,neutral
249,speech,MARGARET,"Remember his graduation speech?
",neutral,neutral,neutral
250,speech,JESSICA,"Good god, he brought the entire ceremony to a complete standstill.
",surprise,admiration,disgust
251,speech,MARGARET,"I'm surprised they didn't take his degree away, maybe they just realised a good speech when they heard one.",surprise,surprise,surprise
252,speech,JESSICA,"Go on Trevor, you do it so well.
",neutral,admiration,neutral
253,consigne,,TREVOR gets to his feet clutching one hand to his chest and holding the other out in front of him.,,,
254,consigne,,adopts and English accent,,,
255,speech,JESSICA,"As the outstanding achiever among this years alumnus I would like to dedicate this degree to all those grandaunts who worked long, hard hours and diligently gave their lives to their studies.",joy,admiration,joy
256,speech,JESSICA,"Who resisted the temptations University life presented to them, and who made sure that the academic excellence of this institution is as world renowned as any other.
",neutral,neutral,neutral
257,consigne,,"MARGARET and JESSICA give a small, dignified round of applause and look at each other nodding.",,,
258,speech,TREVOR,"I fully encourage each and every student who toiled so tirelessly to embark upon yet another degree, as you clearly have so much more to offer the great centers of learning across the world.",neutral,admiration,joy
259,consigne,,Another mini round of applause and approving nodding.,,,
260,consigne,,"More applause, but this time slower and unsure.",,,
261,speech,TREVOR,"Whilst I did indeed drink deep from the fount of knowledge during my four-year tenure at this Elysian Lyceum, I was also able to appreciate all those things that can't be taught.",neutral,admiration,neutral
262,speech,TREVOR,"Whenever I was offered a drink, a drug, or the chance to love I opted to indulge.",joy,neutral,neutral
263,consigne,,"in voice of an old, well-spoken Englishman",,,
264,speech,MARGARET,"I say!
",anger,neutral,surprise
265,consigne,,in same voice,,,
266,speech,JESSICA,"Bad form!
",disgust,annoyance,anger
267,speech,TREVOR,Thus to all those who missed out I implore you ' do not hesitate a moment longer.,fear,caring,fear
268,speech,TREVOR,Enroll afresh.,neutral,neutral,neutral
269,speech,TREVOR,Drain every drop.,neutral,neutral,neutral
270,speech,TREVOR,Smoke every drug.,disgust,neutral,neutral
271,speech,TREVOR,Visit every bed.,neutral,neutral,neutral
272,speech,TREVOR,"And to all those who pour scorn upon your joy like hot oil from a tower of morality I urge you to quote the words of the great John Milton '91Fuck off, I'm happy'!",joy,annoyance,anger
273,consigne,,MARGARET and JESSICA stand to applaud. MARGARET takes flowers out of a vase on the table and hands them to TREVOR,,,
274,speech,JESSICA,"Bravo!
",joy,neutral,joy
275,speech,MARGARET,"Bellisimo!
",surprise,neutral,joy
276,consigne,,back to his Scots accent,,,
277,speech,TREVOR,"Barman, more drinks!",joy,neutral,joy
278,speech,TREVOR,Today we celebrate the life of the last truly great Englishman!,joy,excitement,joy
279,consigne,,BARMAN brings fresh drinks over. All three sink into their chairs with giggles and satisfied sighs.,,,
280,speech,JESSICA,"He promised me I wouldn't forget his speech, but I never imagined he'd do something like that.",surprise,neutral,surprise
281,speech,MARGARET,None of us in that hall will ever forget that day.,neutral,neutral,neutral
282,speech,TREVOR,It was something special there's no denying it.,neutral,admiration,neutral
283,consigne,,Sips his drink,,,
284,speech,TREVOR,"It wasn't his original speech though you know.
",neutral,disapproval,neutral
285,speech,MARGARET,Really?,surprise,curiosity,surprise
286,speech,TREVOR,"No, he went over what he intended to say with me.",neutral,neutral,neutral
287,speech,TREVOR,"It started much the same as that one, but it carried on in the vein one would expect, lauding praise on the University, thanking the lecturers for taking mere children and developing them into society's brightest and best.",neutral,gratitude,neutral
288,speech,MARGARET,I had no idea.,surprise,confusion,surprise
289,speech,MARGARET,"When did he write the good one then?
",neutral,curiosity,neutral
290,speech,TREVOR,He never did.,neutral,neutral,neutral
291,speech,TREVOR,It was off the cuff.,neutral,neutral,neutral
292,speech,TREVOR,The notes he had in front of him were all prompts for his original speech.,neutral,neutral,neutral
293,speech,JESSICA,"Well why did he change his mind then?
",surprise,confusion,neutral
294,speech,TREVOR,"It's hard to say, but my guess would be because Mr.",neutral,confusion,neutral
295,speech,TREVOR,Cleethorpes turned up five minutes before the ceremony started.,neutral,neutral,neutral
296,speech,JESSICA,Good Lord I remember.,surprise,realization,neutral
297,speech,JESSICA,His father wasn't going to attend was he?,sadness,confusion,surprise
298,speech,JESSICA,I remember him saying he'd be damned if he was going to witness the culmination of four years of excess and buggery.,disgust,neutral,neutral
299,speech,MARGARET,Yes that's right.,neutral,approval,neutral
300,speech,MARGARET,"I remember Edwin brushed it off, just like he brushed off everything else.",neutral,neutral,neutral
301,speech,MARGARET,"His father was totally obsessed with the idea of Edwin being gay.
",disgust,neutral,neutral
302,speech,JESSICA,He wasn't even gay though.,neutral,neutral,neutral
303,speech,JESSICA,"At worst he was bisexual.
",disgust,neutral,disgust
304,speech,TREVOR,I think to a man like Mr.,surprise,neutral,neutral
305,speech,TREVOR,Cleethorpes there was no distinction between the two.,neutral,neutral,neutral
306,speech,TREVOR,And I have to say I agree with him.,neutral,approval,neutral
307,speech,TREVOR,"I loved Edwin dearly, but I could never quite become accustomed to his deviance.",sadness,love,sadness
308,speech,MARGARET,How can you say such a thing?,surprise,curiosity,surprise
309,speech,MARGARET,"This is a man you broke bread with.
",disgust,neutral,disgust
310,speech,JESSICA,"This is a man you cut coke with!
",disgust,neutral,anger
311,speech,TREVOR,You can't force a man to be what he's not.,neutral,disapproval,neutral
312,speech,TREVOR,You can't force me to accept a side to Edwin that I found depraved.,disgust,disapproval,disgust
313,speech,TREVOR,"It's all very well getting drunk and high when one is a student, but we're not kids anymore.",disgust,neutral,disgust
314,speech,TREVOR,Maybe if he'd stopped all his excess when the rest of us did then he'd still be here today.,neutral,neutral,neutral
315,speech,MARGARET,"Like you said, he never changed, and you must have known he never would.",neutral,neutral,neutral
316,speech,MARGARET,"He died like he lived, with happiness in his heart.
",sadness,joy,sadness
317,speech,JESSICA,And a drink in his hand.,disgust,neutral,neutral
318,speech,TREVOR,"And drugs in his veins.
",disgust,neutral,neutral
319,speech,MARGARET,And with three in a bed.,neutral,neutral,neutral
320,consigne,,They all laugh,,,
321,speech,MARGARET,If it wasn't for Edwin then I don't think I'd have ever known what happiness is.,surprise,joy,neutral
322,speech,JESSICA,"Well I think I can speak for all of us when I say we're all going to miss him terribly.
",sadness,sadness,sadness
323,speech,TREVOR,"Hear hear.
",joy,neutral,neutral
324,speech,MARGARET,"Well you can speak for the three of us at least, but where the bloody hell is Alan?
",anger,anger,anger
325,speech,TREVOR,"Goodness knows, but I'm not going to see him tonight.",sadness,neutral,sadness
326,speech,TREVOR,I think it's time to retire.,sadness,neutral,sadness
327,speech,MARGARET,"Yes I think you're right 
",neutral,approval,neutral
328,consigne,,they all drain their drinks,,,
329,speech,MARGARET,"It is wonderful to see you both again, even under these circumstances.",joy,admiration,joy
330,speech,MARGARET,Night night.,fear,neutral,neutral
331,consigne,,She exits,,,
332,speech,MARGARET,"TREVOR: I'm so very tired Jess, but I'm never too tired for you.",sadness,neutral,neutral
333,consigne,,He kisses her forehead and exits,,,
334,consigne,,JESSICA slowly moves over to the barstools and sits.,,,
335,speech,BARMAN,Another drink madam?,neutral,neutral,neutral
336,speech,JESSICA,"He's right you know.
",neutral,approval,neutral
337,speech,BARMAN,"Who's that madam?
",surprise,curiosity,surprise
338,speech,JESSICA,Trevor.,neutral,neutral,neutral
339,speech,JESSICA,"I'm not happy with my lot, I know I should be but I'm not.",sadness,disappointment,sadness
340,speech,BARMAN,Sorry to hear it madam.,sadness,remorse,sadness
341,speech,JESSICA,It's just that I've never had to fight for anything.,neutral,neutral,neutral
342,speech,JESSICA,"For a start I'm rich, well Daddy is rich, but he gives me so much that I don't even need to work.",disgust,neutral,sadness
343,speech,BARMAN,Life presents more struggles then merely the financial madam.,sadness,neutral,neutral
344,speech,JESSICA,"I'm intelligent, popular, successful, desired.",joy,admiration,neutral
345,speech,JESSICA,And I know from the reactions men have towards me that I'm beautiful.,joy,admiration,joy
346,speech,JESSICA,I've got a doting husband and three gorgeous daughters.,joy,admiration,joy
347,speech,JESSICA,It's just all so easy.,neutral,approval,neutral
348,speech,JESSICA,All so boring.,sadness,disappointment,sadness
