idx,type,character,sentence,j-hartmann/emotion-english-distilroberta-base,SamLowe/roberta-base-go_emotion,michellejieli/emotion_text_classifier
,speech,Madison,"I'm not making any noise, I assure you. In fact, I've been living in the apartment right across from yours for over a month, and you thought it was still vacant.",neutral,approval,neutral
,speech,Alexandre,"Alright, I didn't notice your presence, and I hope it stays that way. So if you have nothing else to tell me, I suggest you let me get back to my business and go find your cat... 5",neutral,optimism,neutral
,speech,Madison,"Alright, I won't bother you any longer...",anger,annoyance,neutral
,speech,Alexandre,Thank you.,neutral,gratitude,neutral
,consigne,,"She pretends to leave, but then changes her mind.",,,
,speech,Madison,But... I feel bad leaving you like this.,sadness,sadness,sadness
,speech,Alexandre,"What do you mean, like this...?",surprise,confusion,surprise
,speech,Madison,"Well... When I arrived, you were...",neutral,neutral,neutral
,speech,Alexandre,What...?,surprise,neutral,surprise
,speech,Madison,"You didn't seem to be doing well, did you?",surprise,curiosity,surprise
,speech,Alexandre,What makes you think that?,surprise,curiosity,surprise
,speech,Madison,You had a gun at your head.,anger,neutral,disgust
,consigne,,"He looks at the gun he still has it in his hand, surprised.",,,
,speech,Alexandre,"Ah, that... So what?",surprise,neutral,neutral
,speech,Madison,"Well...you look a little...depressed, don't you?",sadness,sadness,surprise
,speech,Alexandre,"Depressed...? Listen, miss, when I was your age, the motto of our generation was live fast, die young, and leave a beautiful corpse, does that ring a bell?",neutral,sadness,neutral
,speech,Madison,James Dean...,neutral,neutral,neutral
,speech,Alexandre,"We had sex without a condom, we rode motorcycles without helmets, and ingested all sorts of prohibited substances, the exact composition of which, believe me, no one knew... Fifty years later, the few old folks like me who survived that blessed era parade in the streets because they are afraid of getting vaccinated... And you expect me not to be depressed?",neutral,neutral,disgust
,speech,Madison,I understand...,neutral,approval,neutral
,speech,Alexandre,"I don't think so, no... But if you're unfortunate enough to live to my age, you'll see. Old age is a shipwreck.",sadness,disapproval,neutral
,speech,Madison,De Gaulle...,neutral,neutral,neutral
,speech,Alexandre,Chateaubriand said it before him... But you are right. Aging is going from Rebel Without a Cause to Memoirs from Beyond the Grave.,neutral,approval,neutral
,speech,Madison,Nicely put.,joy,admiration,neutral
,speech,Alexandre,"Yes... The problem is that nowadays, young people already behave like old folks.",disgust,approval,neutral
,speech,Madison,"In every era, youth people wanted to change the world, didn't they...? 6",neutral,neutral,neutral
,speech,Alexandre,"Today, young people don't want to change the world, they just want to save the planet. And it's not looking good...",sadness,disapproval,sadness
,speech,Madison,"And you, have you succeeded in changing the world?",surprise,curiosity,neutral
,speech,Alexandre,"No, but at least we will have had a lot of fun.",joy,joy,joy
,speech,Madison,You don't seem to be laughing much anymore...,neutral,neutral,sadness
,speech,Alexandre,"Apparently, neither do you... Otherwise you wouldn't be in a relationship with a cat...",neutral,neutral,neutral
,speech,Madison,At least I'm not alone...,neutral,neutral,neutral
,speech,Alexandre,And do you seriously think you can save the planet... by feeding that poor carnivore who didn't ask for anything with vegetable kibbles?,anger,curiosity,anger
,speech,Madison,"I don't know... But to change the world, you have to start by saving the planet, right? What's the point of staging a revolution on the Titanic?",neutral,confusion,neutral
,speech,Alexandre,"Anyway, I envy all those from my generation who died before the age of thirty. Can you imagine Jimi Hendrix and Janis Joplin in a retirement home, discussing the potential dangers of a vaccine between rounds of Scrabble... I'd rather die than see that...",neutral,neutral,sadness
,speech,Madison,Come on don't say that...,anger,disapproval,neutral
,speech,Alexandre,"Unfortunately, literature is not very rock and roll. And most of the time, writers die in their beds.",sadness,disappointment,neutral
,speech,Madison,Are you a writer?,surprise,curiosity,neutral
,speech,Alexandre,"That's none of your business... I don't even know why I'm talking about all this with you, I don't know you... And by the way, why are you still here?",surprise,confusion,anger
,consigne,,He puts the gun away in a drawer.,,,
,speech,Madison,You could have hurt yourself...,sadness,neutral,fear
,speech,Alexandre,"I could also have killed you... When you break into someone's house, there's always a risk... I could have claimed self-defense, I wouldn't have even been convicted...  concerned.) Are you okay?",fear,caring,fear
,speech,Madison,"Excuse me, it'll pass... Do you have a glass of water?",neutral,neutral,neutral
,consigne,,He hesitates for a moment.,,,
,speech,Alexandre,"Sit down for a second, I'll get you that...",neutral,neutral,neutral
,speech,Madison,Thank you...,neutral,gratitude,neutral
,consigne,,He leaves. She immediately comes back to life and takes the opportunity to lookShe takes the glass and drinks it all in one gulp.,,,
,speech,Madison,"Yes, thank you...",neutral,gratitude,neutral
,consigne,,He makes an effort to soften up a bit.,,,
,speech,Alexandre,I'm sorry for receiving you like this... I'm not used to having visitors anymore...,sadness,remorse,sadness
,speech,Madison,So you live alone too?,sadness,curiosity,neutral
,speech,Alexandre,Does that look obvious?,surprise,curiosity,neutral
,speech,Madison,"Based on what you just told me, I assume you don't have children either.",neutral,neutral,neutral
,speech,Alexandre,What makes you think that I don't have children?,surprise,curiosity,surprise
,speech,Madison,Do you have any?,neutral,curiosity,neutral
,speech,Alexandre,"No... And when I see the world today, I'm glad I don't have any...",joy,joy,joy
,speech,Madison,Madison –Yes...,neutral,neutral,neutral
,speech,Alexandre,"If we want to save the planet, we should start by avoiding making children, shouldn't we?",neutral,neutral,neutral
,speech,Madison,At the same time... is it by stopping having children that we will save humanity?,neutral,curiosity,sadness
,speech,Alexandre,"And when you think that France is probably the best country to live in, worldwide...",neutral,neutral,neutral
,speech,Madison,"Yes, that's why I decided to come and settle in your country...",neutral,approval,neutral
,speech,Alexandre,You are not French...?,surprise,neutral,surprise
,speech,Madison,My name is Madison. I am American.,neutral,neutral,neutral
,speech,Alexandre,"Yet you speak our language fluently, and without any accent...",neutral,admiration,neutral
,speech,Madison,My grandmother was French. She taught me the language of Molière. I came to Paris to study literature at the Sorbonne.,joy,neutral,neutral
,speech,Alexandre,So it's just a coincidence that I find you today on my way to Madison.,surprise,surprise,neutral
,speech,Madison,"Your name is Alexandre, isn't it? 8",neutral,curiosity,neutral
,speech,Alexandre,How do you know?,surprise,curiosity,surprise
,speech,Madison,I saw your name on the mailbox downstairs. Alexandre Delacroix... Are you related to...,neutral,neutral,neutral
,speech,Alexandre,The painter? No not at all.,neutral,disapproval,neutral
,speech,Madison,The writer!,surprise,neutral,surprise
,speech,Alexandre,You are American and you know Alexandre Delacroix... whom no body in France remembers anymore.,neutral,neutral,neutral
,speech,Madison,"You're exaggerating... Everyone knows Alexandre Delacroix. And his fame has gone far beyond the borders of France. Among those who are interested in literature, at least. So ?",neutral,neutral,neutral
,speech,Alexandre,Yes... It is me.,neutral,neutral,neutral
,speech,Madison,"No? Alexandre Delacroix, that mythical author who has signed several masterpieces in the 20th-century literature!",surprise,neutral,surprise
,speech,Alexandre,If you say so...,neutral,neutral,neutral
,speech,Madison,"A mysterious writer who now lives as a recluse, who hasn't published anything for years, and who refuses all interviews... Is that really you?",surprise,confusion,surprise
,speech,Alexandre,"Something tells me that you already knew that before breaking into my house by forcing my door, am I wrong?",anger,confusion,neutral
,consigne,,She hesitates for a moment.,,,
,speech,Madison,"No, I admit it...",disgust,approval,neutral
,speech,Alexandre,So you made up this story about a cat to try to get an interview.,neutral,neutral,neutral
,speech,Madison,"It's true about the cat, I swear... But it's also true that when I moved in just across your home, I had an idea in mind.",neutral,approval,neutral
,speech,Alexandre,Did you deliberately rent an apartment opposite mine just to spy on me?,anger,curiosity,surprise
,speech,Madison,"Spy on you? Not at all! I am a great admirer of your work. When I arrived in Paris, I tried to reach out to you. But your agent told me that you didn't want to see anyone.",anger,admiration,anger
,speech,Alexandre,And what part of that sentence didn't you understand?,surprise,confusion,surprise
,speech,Madison,"I crossed the Atlantic in the hope of meeting you. I was looking for an apartment, and the one across from yours was available for rent, so I jumped at the opportunity... 9",joy,desire,neutral
,speech,Alexandre,"You are completely insane! I'm warning you, if you don't leave me alone, I'll file a harassment complaint. And what do you expect from me, anyway? Are you a journalist?",anger,anger,anger
,speech,Madison,"I'm a student, as I told you. I wrote my master's thesis on your work in New York. And then I decided to come to Paris to continue my research, since this city is the setting for most of your novels. You know, for Americans, Paris is the most romantic city in the world.",neutral,approval,neutral
,speech,Alexandre,"And with a cliché like that, you think you can shed light on the hidden meaning of my work?",neutral,curiosity,neutral
,speech,Madison,Do you want to know the title of my thesis?,neutral,curiosity,neutral
,speech,Alexandre,No.,neutral,neutral,neutral
,speech,Madison,"""The figure of absence in the fictional universe of Alexandre Delacroix.""",neutral,neutral,neutral
,speech,Alexandre,"You've got it all figured out... What I like most about most people, including you, is their absence. That's why I'm asking you to leave.",neutral,love,neutral
,speech,Madison,"When you have the chance to work on a living author, you want to meet him, it's normal. To know him a little better. And by knowing about his life, it provides a better understanding of his work.",neutral,neutral,neutral
,speech,Alexandre,"It's a mistake, I assure you. It's better to be content with studying the work while ignoring everything about the author. Many great writers were very small characters in life. If they weren't complete assholes. And that goes either artists or scientists. That's how it is. Geniuses rarely benefit from being known... Even though, I don't consider myself a genius...",neutral,annoyance,neutral
,speech,Madison,"I understand your modesty, but still... An exclusive interview with the author of ""Chronicles of the Latin Quarter"" would be the crowning achievement of my research.",neutral,admiration,neutral
,speech,Alexandre,Have you read it?,neutral,curiosity,neutral
,speech,Madison,It's this novel that convinced me to come and study in Paris. I consider it as your best book.,joy,admiration,joy
,speech,Alexandre,"However, it is not the best-selling...",neutral,disapproval,neutral
,speech,Madison,I imagine this novel is largely autobiographical.,neutral,neutral,neutral
,speech,Alexandre,I told you... It has no interest for the reader...,disgust,neutral,neutral
,speech,Madison,Not to mention that mysterious manuscript you've been working on for years...,neutral,neutral,neutral
,speech,Alexandre,"I don't write anything at all. It is a legend maintained by my publisher so that I am not completely forgotten, and my old books continue to 10 sell a bit. Anyway, I will not give any interview. Not to you or anyone else.  approaches her with a threatening look.) Now get out!",fear,neutral,anger
,consigne,,"Instead of leaving, she stands her ground.",,,
,speech,Madison,No!,anger,disapproval,anger
,consigne,,He seems surprised at her determination.,,,
,speech,Alexandre,"What do you mean, no?",surprise,confusion,surprise
,speech,Madison,I won't let you commit suicide before granting me this interview. I could have swum across the Atlantic to get it!,anger,neutral,anger
,speech,Alexandre,"Go back where you came from on your pedalo if you wish, it's not my problem...",neutral,neutral,neutral
,consigne,,She is on the verge of fainting again.,,,
,speech,Alexandre,"It's the second time you've fainted in front of me... You read too many romance novels, miss. Nowadays, besides in plays, women don't faint like that at any moment just because they're contradicted...",neutral,neutral,sadness
,speech,Madison,"I'm not pretending, I assure you.",neutral,approval,neutral
,consigne,,He seems to hesitate.,,,
,speech,Alexandre,Do you want me to call an ambulance?,fear,curiosity,fear
,speech,Madison,"No, but I need to sit down for a moment.",neutral,neutral,neutral
,speech,Alexandre,And then you will leave?,neutral,neutral,neutral
,speech,Madison,I promise.,neutral,neutral,neutral
,consigne,,She sits up and catches her breath.,,,
,speech,Alexandre,I already gave you a glass of water... Do you want a glass of brandy?,neutral,neutral,neutral
,speech,Madison,"Are you trying to finish me off, is that it?",anger,curiosity,surprise
,speech,Alexandre,"It's too late, unfortunately. I should have shot you right away, I would have pleaded self-defense. Now I can no longer deny premeditation...",sadness,disappointment,fear
,speech,Madison,Why do you keep a gun at home?,anger,curiosity,surprise
,speech,Alexandre,"Initially, it was to ward off intruders. Apparently, it's not enough...",neutral,neutral,neutral
,speech,Madison,"Even if you are a bit misanthropic, like many writers... We all need friendship, don't we?",neutral,curiosity,neutral
,speech,Alexandre,"I have a feeling that you are going to suggest that I get a cat... Do you want to get rid of yours, is that it? 11",neutral,neutral,disgust
,speech,Madison,Doesn't loneliness weigh on you at all?,neutral,curiosity,neutral
,speech,Alexandre,"Loneliness... It's like coffee... At first, it's a little bitter. Then you get used to it. After that, you develop a taste for it. And finally, we can't do without it.",disgust,sadness,neutral
,speech,Madison,You should write a collection of aphorisms. I'm sure it would sell very well.,neutral,approval,neutral
,speech,Alexandre,"And then what is it, not being alone? Living as a couple and rehashing the same banalities year after year? Seeing family or friends from time to time, carefully avoiding any important topics that could cause conflict? Running into neighbors in the stairwell and discussing the weather? Talking to your cat as if it understands you?",neutral,neutral,neutral
,speech,Madison,"Yet, when you write, however, you are addressing someone.",neutral,neutral,neutral
,speech,Alexandre,That's exactly why I stopped writing.,sadness,neutral,sadness
,speech,Madison,I don't believe you.,anger,disapproval,surprise
,speech,Alexandre,I'm not asking you to believe me. I'm asking you to leave me alone...,fear,neutral,anger
,speech,Madison,So you don't want to grant me this interview?,anger,curiosity,surprise
,speech,Alexandre,"I have nothing left to say. Worse yet, I have no one left to talk to. And there are days when I don't even feel like talking to myself.",disgust,disappointment,sadness
,speech,Madison,That's sad...,sadness,sadness,sadness
,speech,Alexandre,"That's life... And in one way or another, mine is coming to an end...",sadness,sadness,sadness
,speech,Madison,"Mine might be too, perhaps...",neutral,neutral,neutral
,speech,Alexandre,You are forty years younger than me. I could be your father.,neutral,neutral,neutral
,speech,Madison,Or even my grandfather.,neutral,neutral,neutral
,speech,Alexandre,"Thank you for this precision, it is very kind of you. Nevertheless, your life is just beginning.",neutral,gratitude,neutral
,speech,Madison,Yes... But it could end soon...,sadness,approval,sadness
,speech,Alexandre,What do you mean?,surprise,confusion,surprise
,speech,Madison,I have a heart disease. Doctors have given me only a few years to live. Maybe just a few months. That's why I came to France to fulfill one last dream. To meet you...,sadness,desire,neutral
,consigne,,He is obviously shaken by this outing.,,,
,speech,Alexandre,What do you mean by heart disease?,surprise,confusion,neutral
,speech,Madison,I was born with a heart defect. My heart is too fragile. It could fail at any moment.,fear,sadness,neutral
,speech,Alexandre,And is that the reason for your moments of weakness?,neutral,curiosity,neutral
,speech,Madison,"At the slightest upset, my heart races, and it can stop beating.",sadness,sadness,neutral
,consigne,,He hesitates for a moment.,,,
,speech,Alexandre,Don't tell me you made up this story to force me not to upset you... and thus to accept this interview.,neutral,annoyance,anger
,speech,Madison,"Unfortunately, no...",sadness,disappointment,sadness
,speech,Alexandre,I'm sorry for you.,sadness,remorse,sadness
,speech,Madison,It's not your fault.,neutral,approval,neutral
,speech,Alexandre,"No, but what an irony. I'm old, I don't have any desires left, I'm considering ending it... You're young, you have your whole life ahead of you, and it's your heart that betrays you...",neutral,disapproval,sadness
,speech,Madison,"I can't change it, so what's the point of rebelling?",neutral,curiosity,neutral
,speech,Alexandre,"And on top of that, you're still smiling...",joy,joy,neutral
,speech,Madison,I tell myself that the remaining months of my life might be the most beautiful ones in my existence.,joy,admiration,joy
,speech,Alexandre,Your joy of life depresses me. Do you ever doubt?,joy,sadness,joy
,speech,Madison,I don't have time for doubt anymore. That's why I forced your door...,fear,neutral,neutral
,consigne,,A pause.,,,
,speech,Alexandre,And there is really no hope?,surprise,confusion,sadness
,speech,Madison,"Yes, a transplant. Still I need to find a donor...",sadness,neutral,neutral
,speech,Alexandre,"I could offer you my heart, I no longer have any use for it... I commit suicide, and I donate my organs to you...",sadness,sadness,sadness
,speech,Madison,"I'm afraid it's not that simple. Especially for a heart. It's not like these organs that we have in pairs. The kidneys, the lungs...",fear,fear,neutral
,speech,Alexandre,The testicles...,neutral,neutral,neutral
,speech,Madison,"For the heart, the donor has to be brain dead...",sadness,neutral,neutral
,speech,Alexandre,"Brain dead? Sometimes I wonder if I am not already there. Like many people around me, actually... 13",surprise,surprise,surprise
,speech,Madison,"The donor has to be deceased, his heart in good shape, and the organ must be removed quickly. Unfortunately, that rarely happens. And the waiting list for organ transplants is very long...",sadness,neutral,neutral
,speech,Alexandre,"I heard that in China, they take organs from death row inmates. It's much more convenient, obviously. They set the transplantation date and execute the inmate on the same day.",neutral,neutral,neutral
,speech,Madison,But that's terrible...,fear,fear,sadness
,speech,Alexandre,"Yes, but that way... the recipient has enough time to leisurely fly in from Europe or the United States. Some even take the opportunity to do some sightseeing. Of course, it's not free. I don't know how much a heart costs in China. Have you looked into it?",neutral,confusion,neutral
,speech,Madison,No...,neutral,neutral,neutral
,speech,Alexandre,You should be able to find that easily on the internet...,neutral,neutral,neutral
,speech,Madison,Thank you.,neutral,gratitude,neutral
,speech,Alexandre,"I'm sorry, I shouldn't joke about it... especially not with you. But then again, humor is all we have left, isn't it?",neutral,remorse,neutral
,speech,Madison,Yes...,neutral,neutral,neutral
,speech,Alexandre,Even though what I just told you is anything but a joke...,neutral,amusement,neutral
,speech,Madison,"I would rather die than live with the heart of a death row guy, even yours... So?",neutral,neutral,neutral
,speech,Alexandre,So what?,surprise,neutral,neutral
,speech,Madison,Will you be cruel enough to let me go without fulfilling my dream?,anger,curiosity,anger
,speech,Alexandre,"You are quite stubborn, aren't you...",anger,neutral,neutral
,speech,Madison,I'll take that as a compliment.,neutral,admiration,neutral
,speech,Alexandre,But how do I know you're not lying?,surprise,confusion,surprise
,speech,Madison,Who would make up such a story? Just to get an interview with a writer that everyone has already forgotten...,surprise,curiosity,surprise
,speech,Alexandre,You finally admit that everyone has already forgotten Alexandre Delacroix.,neutral,neutral,neutral
,speech,Madison,So is that a yes?,neutral,curiosity,neutral
,speech,Alexandre,As soon as you show me a medical file to prove you are not lying.,anger,neutral,neutral
,speech,Madison,"Sorry, I don't have it with me.",sadness,remorse,sadness
,speech,Alexandre,You live just across the courtyard... Go get it... 14,neutral,neutral,neutral
,speech,Madison,"I thought you could take my word for it. I must say, I am a little disappointed.",sadness,disappointment,neutral
,speech,Alexandre,"If I grant you this interview, it is just the beginning, believe me. I am a very disappointing person, you will see. She gets up and looks around the room. Her gaze falls on an old typewriter.",disgust,disappointment,neutral
,speech,Madison,Do you still write on a typewriter?,surprise,curiosity,neutral
,speech,Alexandre,It is indeed on this machine that I wrote all my novels. But don't try to trap me. I told you that I haven't written for years.,neutral,neutral,neutral
,speech,Madison,Why?,surprise,neutral,surprise
,speech,Alexandre,"Words are like banknotes, if you put too many of them in circulation, they lose their value... Look at what's happening on social media today. Everyone is sharing their little thoughts ten or twenty times a day. On every topic. An inflation of fake currency that has devalued the real one. Words no longer mean anything.",neutral,neutral,disgust
,speech,Madison,"You can't stop people from chatting. Before, it was at the café, today it's on Facebook. But there will always be great authors, like you.",neutral,admiration,neutral
,speech,Alexandre,Great authors are no longer read. They are quoted. Incorrectly and indiscriminately. The same quotes repeated over and over until they are completely emptied of meaning... Copy and paste has replaced thinking... and emojis have replaced emotions.,neutral,disapproval,neutral
,speech,Madison,May I quote you in the conclusion of my thesis?,neutral,curiosity,neutral
,speech,Alexandre,"I will be accused of elitism. They'll say that only a select few have the right to express themselves, and that the rest should just keep quiet and listen. That's not true. I believe we should all be quiet.",neutral,disapproval,anger
,speech,Madison,What do you suggest? A minute of silence ?,neutral,curiosity,neutral
,speech,Alexandre,Not just a minute. A whole year. A century. A millennium of silence. Maybe then our words would regain meaning after the verbal diarrhea that has flooded social media in recent years.,neutral,neutral,neutral
,speech,Madison,"It's an interesting analysis, but it's also said that you stopped writing because of a broken heart?",sadness,curiosity,surprise
,speech,Alexandre,People say what we want...,neutral,neutral,neutral
,speech,Madison,But you don't deny it either...,anger,neutral,neutral
,speech,Alexandre,That doesn't mean it's true...,neutral,disapproval,neutral
,consigne,,She picks up the photo on the desk.,,,
,speech,Madison,Who is this woman in the photo? 15,surprise,curiosity,surprise
,speech,Alexandre,That's none of your business.,neutral,disapproval,neutral
,speech,Madison,She's beautiful.,neutral,admiration,joy
,speech,Alexandre,"Even if you are really sick, it doesn't give you the right to pry into my private life.",joy,neutral,neutral
,speech,Madison,I immediately noticed that portrait when I entered your place earlier... and I had the feeling that I recognized that face.,surprise,realization,joy
,consigne,,"He takes the photo from her and looks at it, before putting it back.",,,
,speech,Alexandre,She is a woman I loved a very long time ago...,joy,love,neutral
,speech,Madison,When you were a hippie?,surprise,curiosity,surprise
,speech,Alexandre,"Actually, I wasn't much of a hippie... I was open to new ideas. And I smoked a joint from time to time. But I took care of my health and already thought about my career. You need a certain comfort to write, you know? To become a great writer, sometimes you have to remain a little bourgeois...",neutral,caring,neutral
,speech,Madison,And her?,surprise,neutral,surprise
,speech,Alexandre,She was a free woman. She only thought about the present moment. She lived day to day.,neutral,neutral,neutral
,speech,Madison,Where did you meet her?,neutral,curiosity,neutral
,speech,Alexandre,"In the courtyard... She lived in the apartment across from mine. The one you're staying in now. Well, she shared it with friends passing by. People who came from all over the world. Musicians, artists... That apartment was a bit like Maxime Le Forestier's Maison Bleue. The door was always open.",neutral,neutral,neutral
,speech,Madison,"And since the door was open, one day she took the opportunity to leave. Like my cat...",neutral,neutral,neutral
,speech,Alexandre,"She wanted to go around the world, live new experiences, meet new people. The traditional couple, at that time, was not really our ideal life. Anyway, it wasn't hers.",neutral,neutral,sadness
,speech,Madison,But she loved you...,sadness,love,sadness
,speech,Alexandre,"Yes. In her own way, I think. Even if she didn't love only me...",neutral,approval,neutral
,speech,Madison,Free love...,neutral,love,neutral
,speech,Alexandre,"We didn't want to look like our parents, and we were right. But we didn't really know what else to invent. Something that could last a little... We lived in the present moment. We didn't plan to grow old... And indeed, those who didn't die before thirty have aged very badly. Have you ever met an old beatnik? It's not a pretty sight, I assure you...",neutral,disappointment,sadness
,speech,Madison,"So, you let her continue her journey alone... 16",neutral,neutral,neutral
,speech,Alexandre,"I couldn't hold her back... and I had no right to. One beautiful morning, she left...",sadness,admiration,sadness
,speech,Madison,Where to?,neutral,neutral,neutral
,speech,Alexandre,"Afghanistan. It sounds surreal today, but at that time, it was a very popular destination for hippies. Hashish was freely available and very cheap. By working here for a year, you could live there for a year. And then there was this fascination for the East. For hippies in France, Afghanistan was a paradise.",surprise,approval,neutral
,speech,Madison,But you stayed...,neutral,neutral,neutral
,speech,Alexandre,I was already thinking about my future... And I understood that my future was not in Afghanistan.,neutral,realization,sadness
,speech,Madison,You could have gone with her anyway. For love...,neutral,love,neutral
,speech,Alexandre,Of course... And she probably would have let me go with her... But her dream wasn't a romantic trip. Even less a honeymoon. Asia was an initiatory journey. One that you did with others. Far from the bourgeois patterns of love between two people...,neutral,neutral,neutral
,speech,Madison,So you stayed in Paris... but you never forgot her.,sadness,neutral,neutral
,speech,Alexandre,"I hoped she would come back one day, or at least send me a sign... A postcard... But I never saw her again...",sadness,optimism,sadness
,speech,Madison,Didn't you try to find her?,anger,neutral,neutral
,speech,Alexandre,"The Internet didn't exist yet... When someone chose to disappear from your life, they really disappeared. And then the years passed...",neutral,neutral,neutral
,speech,Madison,You could try to find her now.,neutral,neutral,neutral
,speech,Alexandre,"What's the point? She might be dead now. Or maybe she's married, has five kids, and weighs 120 kilos.",neutral,confusion,neutral
,speech,Madison,"Or maybe she's alive, she's still a beautiful woman, and she sometimes thinks of you.",neutral,admiration,neutral
,speech,Alexandre,"In doubt, I prefer not to know... and keep the image of that beautiful young woman you see in this photo. Can you imagine the shock, forty years later? We don't see ourselves aging, but we see others aging very well, believe me.",surprise,admiration,neutral
,speech,Madison,I'm not sure that I will see myself aging...,neutral,confusion,neutral
,speech,Alexandre,"Sorry, I shouldn't have said that.",sadness,remorse,neutral
,consigne,,A pause.,,,
,speech,Madison,Didn't you hear meowing? 17,surprise,neutral,neutral
,speech,Alexandre,No... Still not...,neutral,disapproval,neutral
,speech,Madison,Maybe she's hiding somewhere here...,neutral,neutral,neutral
,speech,Alexandre,I hope not.,neutral,optimism,neutral
